days,region,temperature,rainfall,daylight,weeks
2015-04-01,Uiseong,10.2,1.5,0,14
2015-04-02,Sinan,11.3,5,1,14
2015-04-02,Goheung,13.9,2.5,0,14
2015-04-02,Gochang,16.7,4.5,5,14
2015-04-02,Andong,10.9,0.5,1,14
2015-04-02,Uiseong,12.4,0,0,14
2015-04-03,Sinan,7.9,3.5,2,14
2015-04-03,Goheung,14.9,8,4,14
2015-04-03,Gochang,10.9,6.5,1,14
2015-04-03,Andong,14.1,2.5,8,14
2015-04-03,Uiseong,15.6,1,6,14
2015-04-04,Sinan,9.3,20,2,14
2015-04-04,Goheung,11.8,56.5,4,14
2015-04-04,Gochang,13.4,21,3,14
2015-04-04,Andong,9.3,9.5,7,14
2015-04-04,Uiseong,10.4,13.5,6,14
2015-04-05,Sinan,9.6,7.5,0,15
2015-04-05,Goheung,11.2,3.5,0,15
2015-04-05,Gochang,12.8,5,0,15
2015-04-05,Andong,8.9,6,0,15
2015-04-05,Uiseong,9.4,3,0,15
2015-04-06,Sinan,7.6,6,1,15
2015-04-06,Goheung,11.8,21.5,0,15
2015-04-06,Gochang,10.6,3,0,15
2015-04-06,Andong,10.6,1.5,0,15
2015-04-06,Uiseong,10.9,1.5,0,15
2015-04-07,Sinan,6.2,0,7,15
2015-04-07,Goheung,9,0.5,0,15
2015-04-07,Gochang,8,0,7,15
2015-04-07,Andong,7,0,1,15
2015-04-07,Uiseong,7.4,0,0,15
2015-04-08,Sinan,6.5,0,12,15
2015-04-08,Goheung,9.8,0.5,4,15
2015-04-08,Gochang,7.7,0,5,15
2015-04-08,Andong,6.4,0,3,15
2015-04-08,Uiseong,6.1,0,2,15
2015-04-09,Sinan,8.6,0,9,15
2015-04-09,Goheung,10.4,0,7,15
2015-04-09,Gochang,9.5,0,7,15
2015-04-09,Andong,8.4,0,11,15
2015-04-09,Uiseong,7.6,0,11,15
2015-04-10,Sinan,8.3,0,12,15
2015-04-10,Goheung,11.8,0,9,15
2015-04-10,Gochang,10.1,0,11,15
2015-04-10,Andong,10.3,0,11,15
2015-04-10,Uiseong,8.8,0,9,15
2015-04-11,Sinan,10.5,0,12,15
2015-04-11,Goheung,11.8,0,11,15
2015-04-11,Gochang,11.8,0,11,15
2015-04-11,Andong,11.3,0,12,15
2015-04-11,Uiseong,9.6,0,11,15
2015-04-12,Sinan,12,0,4,16
2015-04-12,Goheung,13,1,3,16
2015-04-12,Gochang,13.8,2.5,1,16
2015-04-12,Andong,10.3,0,3,16
2015-04-12,Uiseong,9.6,0,2,16
2015-04-13,Sinan,9.8,7,1,16
2015-04-13,Goheung,11.8,9,0,16
2015-04-13,Gochang,11.9,5,0,16
2015-04-13,Andong,9.6,3,0,16
2015-04-13,Uiseong,9.1,7.5,0,16
2015-04-14,Sinan,9.9,0.5,11,16
2015-04-14,Goheung,9.3,4.5,6,16
2015-04-14,Gochang,9,9,4,16
2015-04-14,Andong,9.6,11.5,5,16
2015-04-14,Uiseong,9.7,8,4,16
2015-04-15,Sinan,11.7,0,10,16
2015-04-15,Goheung,13.2,0,9,16
2015-04-15,Gochang,13.3,0.1,10,16
2015-04-15,Andong,11.5,0.5,9,16
2015-04-15,Uiseong,10.7,0.5,6,16
2015-04-16,Sinan,11.9,0,8,16
2015-04-16,Goheung,13.6,0.5,5,16
2015-04-16,Gochang,12.6,1.5,4,16
2015-04-16,Andong,11,4,8,16
2015-04-16,Uiseong,9.8,3,6,16
2015-04-17,Sinan,11.9,0,12,16
2015-04-17,Goheung,10.7,0,11,16
2015-04-17,Gochang,11.1,0,11,16
2015-04-17,Andong,12,0,12,16
2015-04-17,Uiseong,10.3,0,11,16
2015-04-18,Sinan,11.9,0.5,1,16
2015-04-18,Goheung,12.1,14.5,4,16
2015-04-18,Gochang,16.1,0.5,3,16
2015-04-18,Andong,13.5,0,6,16
2015-04-18,Uiseong,12,0.2,5,16
2015-04-19,Sinan,12.7,7,0,17
2015-04-19,Goheung,16.1,13.5,0,17
2015-04-19,Gochang,18.3,2.5,0,17
2015-04-19,Andong,13.4,10,0,17
2015-04-19,Uiseong,13.7,5.5,0,17
2015-04-20,Sinan,9.8,2.5,6,17
2015-04-20,Goheung,13.4,10.5,0,17
2015-04-20,Gochang,13.4,6,0,17
2015-04-20,Andong,10.7,12,0,17
2015-04-20,Uiseong,10.8,12.5,0,17
2015-04-21,Sinan,11.7,0,12,17
2015-04-21,Goheung,14.1,0.5,9,17
2015-04-21,Gochang,12.5,0,11,17
2015-04-21,Andong,13.4,0,8,17
2015-04-21,Uiseong,12.4,0,8,17
2015-04-22,Sinan,13.2,0,12,17
2015-04-22,Goheung,14.2,0,11,17
2015-04-22,Gochang,12.5,0,10,17
2015-04-22,Andong,14,0,9,17
2015-04-22,Uiseong,12.5,0,8,17
2015-04-23,Sinan,13.5,0,8,17
2015-04-23,Goheung,13.3,0,8,17
2015-04-23,Gochang,13.5,0,11,17
2015-04-23,Andong,15.3,0,11,17
2015-04-23,Uiseong,12.8,0,9,17
2015-04-24,Sinan,14.3,0,9,17
2015-04-24,Goheung,14.6,0,7,17
2015-04-24,Gochang,14.6,0,9,17
2015-04-24,Andong,16.8,0,11,17
2015-04-24,Uiseong,13.9,0,11,17
2015-04-25,Sinan,15.9,0,12,17
2015-04-25,Goheung,16,0,12,17
2015-04-25,Gochang,15.4,0,12,17
2015-04-25,Andong,16.1,0,13,17
2015-04-25,Uiseong,13.9,0,12,17
2015-04-26,Sinan,14.6,0,12,18
2015-04-26,Goheung,17.4,0,12,18
2015-04-26,Gochang,16.8,0,12,18
2015-04-26,Andong,19.1,0,13,18
2015-04-26,Uiseong,16.8,0,12,18
2015-04-27,Sinan,16.2,0,12,18
2015-04-27,Goheung,16.7,0,11,18
2015-04-27,Gochang,18.1,0,11,18
2015-04-27,Andong,20.7,0,12,18
2015-04-27,Uiseong,17.7,0,11,18
2015-04-28,Sinan,14.5,59.5,2,18
2015-04-28,Goheung,16.3,27,0,18
2015-04-28,Gochang,18.4,23,1,18
2015-04-28,Andong,18.1,2.5,8,18
2015-04-28,Uiseong,17.1,0,7,18
2015-04-29,Sinan,13.2,1.5,1,18
2015-04-29,Goheung,16.1,123,0,18
2015-04-29,Gochang,18.4,34.5,0,18
2015-04-29,Andong,16.1,1,0,18
2015-04-29,Uiseong,15.5,3.5,0,18
2015-04-30,Sinan,15.1,0.2,8,18
2015-04-30,Goheung,17.7,0.1,6,18
